Name,Type,Location,Conference,Division,URL
Abraham Baldwin Agricultural College,Public,"Tifton, Georgia",SSAC,NAIA,https://www.abac.edu/
Alice Lloyd College,Private,"Pippa Passes, Kentucky",RSC,NAIA,https://www.alc.edu/
Aquinas College,Private,"Grand Rapids, Michigan",WHAC,NAIA,https://www.aquinas.edu/
Arizona Christian University,Private,"Glendale, Arizona",GSAC,NAIA,https://www.arizonachristian.edu/
Arkansas Baptist College,Private,"Little Rock, Arkansas",CAC,NAIA,https://www.arkansasbaptist.edu/
Ave Maria University,Private,"Ave Maria, Florida",TSC,NAIA,https://www.avemaria.edu/
Avila University,Private,"Kansas City, Missouri",KCAC,NAIA,https://www.avila.edu/
Baker University,Private,"Baldwin City, Kansas",HAAC,NAIA,https://www.bakerU.edu
Bellevue University,Private,"Bellevue, Nebraska",North Star,NAIA,https://www.bellevue.edu/
Benedictine College,Private,"Atchison, Kansas",HAAC,NAIA,https://www.benedictine.edu/
Benedictine University at Mesa,Private,"Mesa, Arizona",GSAC,NAIA,https://ben.edu/mesa/
Bethany College,Private,"Lindsborg, Kansas",KCAC,NAIA,https://www.bethanylb.edu/
Bethel College – Kansas,Private,"North Newton, Kansas",KCAC,NAIA,https://www.bethelks.edu
Bethel University – Indiana,Private,"Mishawaka, Indiana",Crossroads,NAIA,https://betheluniversity.edu/
Bethel University – Tennessee,Private,"Mckenzie, Tennessee",Mid South,NAIA,https://www.bethelu.edu/
Blue Mountain College,Private,"Blue Mountain, Mississippi",SSAC,NAIA,https://www.bmc.edu/
Bluefield University,Private,"Bluefield, Virginia",AAC,NAIA,https://www.bluefield.edu/
Brenau University,Private,"Gainesville, Georgia",AAC,NAIA,https://www.brenau.edu/
Brescia University,Private,"Owensboro, Kentucky",RSC,NAIA,https://www.brescia.edu/
Brewton-Parker College,Private,"Mount Vernon, Georgia",SSAC,NAIA,https://bpc.edu/
Briar Cliff University,Private,"Sioux City, Iowa",GPAC,NAIA,https://www.briarcliff.edu/
