Name,Type,Location,Conference,Division,URL
Adrian College,Private,"Adrian, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.adrian.edu/
Agnes Scott College,Private,"Decatur, Georgia",Collegiate Conference of the South,NCAA D3,https://www.agnesscott.edu/
Albertus Magnus College,Private,"New Haven, Connecticut",Great Northeast Athletic Conference,NCAA D3,https://www.albertus.edu/
Albion College,Private,"Albion, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.albion.edu/
Albright College,Private,"Reading, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.albright.edu/home/
Alfred State College,Public,"Alfred, New York",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.alfredstate.edu/
Alfred University,Private,"Alfred, New York",Empire 8,NCAA D3,https://www.alfred.edu/
Allegheny College,Private,"Meadville, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://allegheny.edu/
Alma College,Private,"Alma, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.alma.edu/
Alvernia University,Private,"Reading, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.alvernia.edu/
Alverno College,Private,"Milwaukee, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.alverno.edu/
Amherst College,Private,"Amherst, Massachusetts",New England Small College Athletic Conference,NCAA D3,https://www.amherst.edu/
Anderson University – Indiana,Private,"Anderson, Indiana",Heartland Collegiate Athletic Conference,NCAA D3,https://anderson.edu/
Anna Maria College,Private,"Paxton, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://annamaria.edu/
Arcadia University,Private,"Glenside, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.arcadia.edu/
Asbury University,Private,"Wilmore, Kentucky",Division 3 Independents,NCAA D3,https://www.asbury.edu/
Augsburg University,Private,"Minneapolis, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.augsburg.edu/
Augustana College – Illinois,Private,"Rock Island, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://www.augustana.edu/
Aurora University,Private,"Aurora, Illinois",Northern Athletics Collegiate Conference,NCAA D3,https://aurora.edu/
Austin College,Private,"Sherman, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://www.austincollege.edu/
Averett University,Private,"Danville, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.averett.edu/
Babson College,Private,"Wellesley, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://www.babson.edu/
Baldwin Wallace University,Private,"Berea, Ohio",Ohio Athletic Conference,NCAA D3,https://www.bw.edu
Bard College,Private,"Annandale On Hudson, New York",Liberty League,NCAA D3,https://www.bard.edu/
Bates College,Private,"Lewiston, Maine",New England Small College Athletic Conference,NCAA D3,https://www.bates.edu/
Belhaven University,Private,"Jackson, Mississippi",Collegiate Conference of the South,NCAA D3,https://www.belhaven.edu/
Beloit College,Private,"Beloit, Wisconsin",Midwest Conference,NCAA D3,https://www.beloit.edu/
Benedictine University,Private,"Lisle, Illinois",Northern Athletics Collegiate Conference,NCAA D3,https://ben.edu/
Berea College,Private,"Berea, Kentucky",Heartland Collegiate Athletic Conference,NCAA D3,https://www.berea.edu/
Berry College,Private,"Mount Berry, Georgia",Southern Athletic Association,NCAA D3,https://berry.edu
Bethany College – West Virginia,Private,"Bethany, West Virginia",Presidents' Athletic Conference,NCAA D3,https://www.bethanywv.edu/
Bethany Lutheran College,Private,"Mankato, Minnesota",Upper Midwest Athletic Conference,NCAA D3,https://blc.edu/
Bethel University – Minnesota,Private,"Saint Paul, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.bethel.edu/
Blackburn College,Private,"Carlinville, Illinois",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://blackburn.edu/
Bluffton University,Private,"Bluffton, Ohio",Heartland Collegiate Athletic Conference,NCAA D3,https://www.bluffton.edu/
