Name,Division,Conference,City,State,Academic_Website,Athletic_Website,NCAA_ID,Data_Quality
"Abilene Christian University","NCAA DI","Western Athletic Conference","","TX","https://www.acu.edu","https://www.acusports.com","2",100
"Alabama A&M University","NCAA DI","Southwestern Athletic Conf.","","AL","https://www.aamu.edu","https://www.aamusports.com","6",100
"Alabama State University","NCAA DI","Southwestern Athletic Conf.","","AL","https://www.alasu.edu","https://www.bamastatesports.com","7",100
"Alcorn State University","NCAA DI","Southwestern Athletic Conf.","","MS","https://www.alcorn.edu","https://www.alcornsports.com","17",100
"American University","NCAA DI","Patriot League","","DC","https://american.edu","https://www.aueagles.com","23",100
"Appalachian State University","NCAA DI","Sun Belt Conference","","NC","https://www.appstate.edu","https://appstatesports.com","27",100
"Arizona State University","NCAA DI","Big 12 Conference","","AZ","https://asu.edu","https://sundevils.com","28",100
"Arkansas State University","NCAA DI","Sun Belt Conference","","AR","https://www.astate.edu","https://www.astateredwolves.com","30",100
"Auburn University","NCAA DI","Southeastern Conference","","AL","https://www.auburn.edu","https://www.auburntigers.com","37",100
"Austin Peay State University","NCAA DI","Atlantic Sun Conference","","TN","https://www.apsu.edu","https://www.letsgopeay.com","43",100
"Ball State University","NCAA DI","Mid-American Conference","","IN","https://www.bsu.edu","https://www.ballstatesports.com","47",100
"Baylor University","NCAA DI","Big 12 Conference","","TX","https://www.baylor.edu","https://www.baylorbears.com","51",100
"Bellarmine University","NCAA DI","Atlantic Sun Conference","","KY","https://www.bellarmine.edu","https://athletics.bellarmine.edu","52",100
"Belmont University","NCAA DI","Missouri Valley Conference","","TN","https://www.belmont.edu","https://www.belmontbruins.com","14927",100
"Bethune-Cookman University","NCAA DI","Southwestern Athletic Conf.","","FL","https://www.cookman.edu","https://www.bcuathletics.com","61",100
"Binghamton University","NCAA DI","America East Conference","","NY","https://www.binghamton.edu","https://www.bubearcats.com","62",100
"Boise State University","NCAA DI","Mountain West Conference","","ID","https://www.boisestate.edu","https://www.broncosports.com","66",100
"Boston College","NCAA DI","Atlantic Coast Conference","","MA","https://www.bc.edu","https://www.bceagles.com","67",100
"Boston University","NCAA DI","Patriot League","","MA","https://www.bu.edu","https://www.goterriers.com","68",100
"Bowling Green State University","NCAA DI","Mid-American Conference","","OH","https://www.bgsu.edu","https://www.bgsufalcons.com","71",100
"Bradley University","NCAA DI","Missouri Valley Conference","","IL","https://www.bradley.edu","https://www.bradleybraves.com","72",100
"Brigham Young University","NCAA DI","Big 12 Conference","","UT","https://www.byu.edu","https://byucougars.com","77",100
"Brown University","NCAA DI","The Ivy League","","RI","https://www.brown.edu","https://www.brownbears.com","80",100
"Bryant University","NCAA DI","America East Conference","","RI","https://www.bryant.edu","https://www.bryantbulldogs.com","81",100
"Bucknell University","NCAA DI","Patriot League","","PA","https://bucknell.edu","https://bucknellbison.com","83",100
"Butler University","NCAA DI","Big East Conference","","IN","https://www.butler.edu","https://www.butlersports.com","87",100
"California Baptist University","NCAA DI","Western Athletic Conference","","CA","https://www.calbaptist.edu","https://www.cbulancers.com","30135",100
"California Polytechnic State University","NCAA DI","Big West Conference","","CA","https://calpoly.edu","https://gopoly.com","90",100
"California State University, Bakersfield","NCAA DI","Big West Conference","","CA","https://www.csub.edu","https://www.gorunners.com","94",100
"California State University, Fresno","NCAA DI","Mountain West Conference","","CA","https://www.fresnostate.edu","https://www.gobulldogs.com","96",100
"California State University, Fullerton","NCAA DI","Big West Conference","","CA","https://www.fullerton.edu","https://www.fullertontitans.com","97",100
"California State University, Northridge","NCAA DI","Big West Conference","","CA","https://www.csun.edu","https://www.GoMatadors.com","101",100
"California State University, Sacramento","NCAA DI","Big Sky Conference","","CA","https://www.csus.edu","https://www.hornetsports.com","102",100
"Campbell University","NCAA DI","Coastal Athletic Association","","NC","https://www.campbell.edu","https://www.gocamels.com","115",100
"Canisius University","NCAA DI","Metro Atlantic Athletic Conference","","NY","https://www.canisius.edu","https://www.gogriffs.com","116",100
"Central Connecticut State University","NCAA DI","Northeast Conference","","CT","https://www.ccsu.edu","https://www.ccsubluedevils.com","127",100
"Central Michigan University","NCAA DI","Mid-American Conference","","MI","https://www.cmich.edu","https://www.cmuchippewas.com","129",100
"Charleston Southern University","NCAA DI","Big South Conference","","SC","https://www.charlestonsouthern.edu/","https://csusports.com/","48",100
"Chicago State University","NCAA DI","Northeast Conference","","IL","https://www.csu.edu","https://www.gocsucougars.com","136",100
"Clemson University","NCAA DI","Atlantic Coast Conference","","SC","https://clemson.edu","https://clemsontigers.com","147",100
"Cleveland State University","NCAA DI","Horizon League","","OH","https://www.csuohio.edu","https://www.csuvikings.com","148",100
"Coastal Carolina University","NCAA DI","Sun Belt Conference","","SC","https://www.coastal.edu","https://www.goccusports.com","149",100
"Colgate University","NCAA DI","Patriot League","","NY","https://www.colgate.edu","https://gocolgateraiders.com","153",100
"College of Charleston (South Carolina)","NCAA DI","Coastal Athletic Association","","SC","https://www.cofc.edu","https://www.cofcsports.com","1014",100
"College of the Holy Cross","NCAA DI","Patriot League","","MA","https://www.holycross.edu","https://goholycross.com/","285",100
