Name,Division,City,State,Website,Phone,NCAA_ID,Data_Quality
"Abilene Christian University","NCAA D1","","TX","https://www.acu.edu","","2",70
"Adams State University","NCAA D1","","CO","https://www.adams.edu","","929",70
"Adelphi University","NCAA D1","","NY","https://www.adelphi.edu","","3",70
"Adrian College","NCAA D1","","MI","https://www.adrian.edu","","4",70
"Agnes Scott College","NCAA D1","","GA","https://www.agnesscott.edu","","11324",70
"Alabama A&M University","NCAA D1","","AL","https://www.aamu.edu","","6",70
"Alabama State University","NCAA D1","","AL","https://www.alasu.edu","","7",70
"Albany State University (Georgia)","NCAA D1","","GA","https://www.asurams.edu","","13",70
"Albertus Magnus College","NCAA D1","","CT","https://www.albertus.edu","","2798",70
"Albion College","NCAA D1","","MI","https://www.albion.edu","","15",70
"Albright College","NCAA D1","","PA","https://www.albright.edu","","16",70
"Alcorn State University","NCAA D1","","MS","https://www.alcorn.edu","","17",70
"Alfred State College","NCAA D1","","NY","https://www.alfredstate.edu","","30170",70
"Alfred University","NCAA D1","","NY","https://www.alfred.edu","","18",70
"Allegheny College","NCAA D1","","PA","https://www.allegheny.edu","","19",70
"Allen University","NCAA D1","","SC","https://allenuniversity.edu","","30240",70
"Alma College","NCAA D1","","MI","https://www.alma.edu","","21",70
"Alvernia University","NCAA D1","","PA","https://www.alvernia.edu","","938",70
"Alverno College","NCAA D1","","WI","https://www.alverno.edu","","28746",70
"American International College","NCAA D1","","MA","https://aic.edu","","22",70
"American University","NCAA D1","","DC","https://american.edu","","23",70
"Amherst College","NCAA D1","","MA","https://www.amherst.edu","","24",70
"Anderson University (Indiana)","NCAA D1","","IN","https://www.anderson.edu","","939",70
"Anderson University (South Carolina)","NCAA D1","","SC","https://www.andersonuniversity.edu","","13028",70
"Angelo State University","NCAA D1","","TX","https://www.angelo.edu","","25",70
"Anna Maria College","NCAA D1","","MA","https://www.annamaria.edu","","26",70
"Appalachian State University","NCAA D1","","NC","https://www.appstate.edu","","27",70
"Arcadia University","NCAA D1","","PA","https://www.arcadia.edu","","966",70
"Arizona State University","NCAA D1","","AZ","https://asu.edu","","28",70
"Arkansas State University","NCAA D1","","AR","https://www.astate.edu","","30",70
"Arkansas Tech University","NCAA D1","","AR","https://www.atu.edu","","947",70
"Asbury University","NCAA D1","","KY","https://www.asbury.edu","","30243",70
"Ashland University","NCAA D1","","OH","https://www.ashland.edu","","35",70
"Assumption University","NCAA D1","","MA","https://www.assumption.edu","","36",70
"Auburn University","NCAA D1","","AL","https://www.auburn.edu","","37",70
"Auburn University at Montgomery","NCAA D1","","AL","https://www.aum.edu","","30093",70
"Augsburg University","NCAA D1","","MN","https://www.augsburg.edu","","38",70
"Augusta University","NCAA D1","","GA","https://www.augusta.edu","","39",70
"Augustana College (Illinois)","NCAA D1","","IL","https://www.augustana.edu","","40",70
"Augustana University (South Dakota)","NCAA D1","","SD","https://www.augie.edu","","41",70
"Aurora University","NCAA D1","","IL","https://www.aurora.edu","","42",70
"Austin College","NCAA D1","","TX","https://www.austincollege.edu","","953",70
"Austin Peay State University","NCAA D1","","TN","https://www.apsu.edu","","43",70
"Averett University","NCAA D1","","VA","https://www.averett.edu","","44",70
"Azusa Pacific University","NCAA D1","","CA","https://www.apu.edu","","30146",70
"Babson College","NCAA D1","","MA","https://www.babson.edu","","45",70
"Baldwin Wallace University","NCAA D1","","OH","https://www.bw.edu","","46",70
"Ball State University","NCAA D1","","IN","https://www.bsu.edu","","47",70
"Bard College","NCAA D1","","NY","https://www.bard.edu","","962",70
"Barry University","NCAA D1","","FL","https://www.barry.edu","","49",70
"Barton College","NCAA D1","","NC","https://www.barton.edu","","15646",70
"Baruch College","NCAA D1","","NY","https://www.baruch.cuny.edu","","58",70
"Bates College","NCAA D1","","ME","https://www.bates.edu","","50",70
"Baylor University","NCAA D1","","TX","https://www.baylor.edu","","51",70
"Belhaven University","NCAA D1","","MS","https://www.belhaven.edu","","30197",70
"Bellarmine University","NCAA D1","","KY","https://www.bellarmine.edu","","52",70
"Belmont Abbey College","NCAA D1","","NC","https://www.bac.edu","","2683",70
"Belmont University","NCAA D1","","TN","https://www.belmont.edu","","14927",70
"Beloit College","NCAA D1","","WI","https://www.beloit.edu","","53",70
"Bemidji State University","NCAA D1","","MN","https://www.bemidjistate.edu/","","54",70
"Benedict College","NCAA D1","","SC","https://www.benedict.edu","","55",70
"Benedictine University (Illinois)","NCAA D1","","IL","https://www.ben.edu","","296",70
