id,sport_id,field_key,field_label,field_type,field_unit,field_description,field_step,field_min,field_max,field_category,field_order,is_active,created_at,updated_at
201,3,points_per_game,Points Per Game,number,points,Average points per game recorded by the player,0.1,,,Scoring,0,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
202,3,field_goal_percentage,Field Goal %,percentage,%,Percentage of field goal,0.1,,100,Scoring,1,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
203,3,three_point_percentage,3-Point %,percentage,%,Percentage of 3-point,0.1,,100,Scoring,2,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
204,3,free_throw_percentage,Free Throw %,percentage,%,Percentage of free throw,0.1,,100,Scoring,3,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
205,3,assists_per_game,Assists Per Game,number,assists,Average assists per game recorded by the player,0.1,,,Playmaking,4,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
206,3,turnovers_per_game,Turnovers Per Game,number,turnovers,Average turnovers per game recorded by the player,0.1,,,Playmaking,5,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
207,3,assist_to_turnover_ratio,Assist/Turnover Ratio,number,ratio,Ratio measurement for assist/turnover ratio,0.1,,,Playmaking,6,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
208,3,rebounds_per_game,Rebounds Per Game,number,rebounds,Average rebounds per game recorded by the player,0.1,,,Rebounding,7,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
209,3,offensive_rebounds,Offensive Rebounds,number,offensive,Number of offensive rebounds recorded by the player,0.1,,,Rebounding,8,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
210,3,defensive_rebounds,Defensive Rebounds,number,defensive,Number of defensive rebounds recorded by the player,0.1,,,Rebounding,9,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
211,3,steals_per_game,Steals Per Game,number,steals,Average steals per game recorded by the player,0.1,,,Defense,10,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
212,3,blocks_per_game,Blocks Per Game,number,blocks,Average blocks per game recorded by the player,0.1,,,Defense,11,true,2025-06-08 02:40:48.639292+00,2025-06-08 02:40:48.639292+00
229,2,batting_average,Batting Average,number,avg,Average batting average performance,0.001,,1,Hitting,0,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
230,2,on_base_percentage,On-Base %,number,%,Number of on-base % recorded by the player,0.001,,1,Hitting,1,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
231,2,slugging_percentage,Slugging %,number,%,Number of slugging % recorded by the player,0.001,,1,Hitting,2,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
232,2,home_runs,Home Runs,number,home,Number of home runs recorded by the player,,,,Hitting,3,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
233,2,rbis,RBIs,number,rbis,Number of rbis recorded by the player,,,,Hitting,4,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
234,2,stolen_bases,Stolen Bases,number,stolen,Number of stolen bases recorded by the player,,,,Hitting,5,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
235,2,era,ERA,number,era,Number of era recorded by the player,0.01,,,Pitching,6,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
236,2,whip,WHIP,number,whip,Number of whip recorded by the player,0.01,,,Pitching,7,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
237,2,strikeouts,Strikeouts,number,strikeouts,Number of strikeouts recorded by the player,,,,Pitching,8,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
238,2,walks,Walks,number,walks,Number of walks recorded by the player,,,,Pitching,9,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
239,2,wins,Wins,number,wins,Number of wins recorded by the player,,,,Pitching,10,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
240,2,saves,Saves,number,saves,Number of saves recorded by the player,,,,Pitching,11,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
241,2,fielding_percentage,Fielding %,percentage,%,Percentage of fielding,0.1,,100,Fielding,12,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
242,2,errors,Errors,number,errors,Number of errors recorded by the player,,,,Fielding,13,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
243,2,sixty_yard_dash,60-Yard Dash,time,seconds,Player's 60-yard dash,0.01,,,Speed,14,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
244,2,arm_velocity,Arm Velocity,number,mph,Number of arm velocity recorded by the player,,,,Speed,15,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
245,2,pop_time,Pop Time (C),time,seconds,Player's pop time (c),0.01,,,Speed,16,true,2025-06-08 02:40:49.184602+00,2025-06-08 02:40:49.184602+00
246,9,batting_average,Batting Average,number,avg,Average batting average performance,0.001,,1,Hitting,0,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
247,9,on_base_percentage,On-Base %,number,%,Number of on-base % recorded by the player,0.001,,1,Hitting,1,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
248,9,slugging_percentage,Slugging %,number,%,Number of slugging % recorded by the player,0.001,,1,Hitting,2,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
249,9,home_runs,Home Runs,number,home,Number of home runs recorded by the player,,,,Hitting,3,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
250,9,rbis,RBIs,number,rbis,Number of rbis recorded by the player,,,,Hitting,4,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
251,9,stolen_bases,Stolen Bases,number,stolen,Number of stolen bases recorded by the player,,,,Hitting,5,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
252,9,era,ERA,number,era,Number of era recorded by the player,0.01,,,Pitching,6,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
253,9,whip,WHIP,number,whip,Number of whip recorded by the player,0.01,,,Pitching,7,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
254,9,strikeouts,Strikeouts,number,strikeouts,Number of strikeouts recorded by the player,,,,Pitching,8,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
255,9,walks,Walks,number,walks,Number of walks recorded by the player,,,,Pitching,9,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
256,9,wins,Wins,number,wins,Number of wins recorded by the player,,,,Pitching,10,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
257,9,fielding_percentage,Fielding %,percentage,%,Percentage of fielding,0.1,,100,Fielding,11,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
258,9,errors,Errors,number,errors,Number of errors recorded by the player,,,,Fielding,12,true,2025-06-08 02:40:49.451929+00,2025-06-08 02:40:49.451929+00
