id,sport,created_at
1,Band,2025-04-17 03:56:11.425813+00
2,Baseball,2025-04-17 03:56:11.855895+00
3,Basketball,2025-04-17 03:56:12.66467+00
4,Cross Country,2025-04-17 03:56:13.267261+00
5,Esports,2025-04-17 03:56:13.642357+00
6,Football,2025-04-17 03:56:13.890287+00
7,Golf,2025-04-17 03:56:15.407038+00
8,Soccer,2025-04-17 03:56:15.786526+00
9,Softball,2025-04-17 03:56:16.228787+00
10,Tennis,2025-04-17 03:56:16.450344+00
11,Track & Field,2025-04-17 03:56:16.823917+00
12,Volleyball,2025-04-17 03:56:17.912182+00
13,Lacrosse,2025-04-17 03:56:36.711485+00
14,Swimming & Diving,2025-04-17 03:56:37.374254+00
15,Wrestling,2025-04-17 03:56:38.963992+00
16,Bowling,2025-04-17 03:56:45.276757+00
17,Cheer,2025-04-17 03:56:45.508513+00
18,Dance,2025-04-17 03:56:46.143491+00
19,Field Hockey,2025-04-17 03:56:46.565719+00
20,Acrobatics & Tumbling,2025-04-17 03:56:57.359097+00
21,Bass Fishing,2025-04-17 03:56:58.993465+00
22,Equestrian,2025-04-17 03:57:00.682642+00
23,Figure Skating,2025-04-17 03:57:01.293891+00
24,Gymnastics,2025-04-17 03:57:03.852356+00
25,Ice Hockey,2025-04-17 03:57:04.104968+00
26,Ice Hockey ACHA,2025-04-17 03:57:04.744962+00
27,Rowing,2025-04-17 03:57:06.004961+00
28,Rugby,2025-04-17 03:57:06.378375+00
29,Football (Sprint),2025-04-17 03:58:30.473923+00
30,Skiing-Alpine,2025-04-17 03:59:01.633854+00
31,Spirit,2025-04-17 03:59:26.048289+00
32,Squash,2025-04-17 04:00:16.931309+00
33,Track & Field (I),2025-04-17 04:01:19.042336+00
34,Track & Field (O),2025-04-17 04:01:19.351264+00
35,Beach Volleyball,2025-04-17 04:01:26.394141+00
36,Triathlon,2025-04-17 04:01:29.939805+00
37,Water Polo,2025-04-17 04:01:30.389472+00
38,Rifle,2025-04-17 04:02:15.117092+00
39,Skiing,2025-04-17 04:05:59.572439+00
40,Athletic Director,2025-04-17 04:06:43.7624+00
41,Cycling,2025-04-17 04:07:06.649429+00
42,Flag Football,2025-04-17 04:07:52.839805+00
43,Rodeo,2025-04-17 04:09:51.50834+00
44,Fencing,2025-04-17 04:10:54.00255+00
45,Sailing,2025-04-17 04:10:58.511696+00
46,Rowing-Lightweight,2025-04-17 04:11:10.207187+00
47,Crew,2025-04-17 04:13:19.654289+00
48,Climbing,2025-04-17 04:13:35.383603+00
49,Diving,2025-04-17 04:19:20.712139+00
50,Archery,2025-04-17 04:27:02.089735+00
51,Clay Target Shooting,2025-04-17 04:27:03.516361+00
52,Skiing-Nordic,2025-04-17 04:27:26.575117+00
53,Rowing-Heavyweight,2025-04-17 04:30:53.23843+00
54,Roller Hockey,2025-04-17 04:45:00.903351+00
55,Synchronized Swimming,2025-04-17 04:45:43.9284+00
56,Boxing,2025-04-17 04:54:24.795402+00
57,Weightlifting,2025-04-17 05:17:19.558519+00
58,Powerlifting,2025-04-17 05:26:17.006599+00
59,Badminton,2025-04-17 06:23:02.940069+00
60,Snowboard,2025-04-17 07:18:28.375035+00
61,Half Marathon,2025-04-17 07:41:13.307146+00
62,Fishing,2025-04-17 08:23:04.035681+00
63,Snowboarding,2025-04-17 08:45:12.407414+00
64,Terrain,2025-04-17 09:58:06.283992+00
65,Labels,2025-04-17 09:58:06.565759+00
66,Field,2025-04-23 13:50:18.941862+00
67,Track,2025-04-23 13:50:22.395551+00
68,Hockey,2025-04-23 14:15:54.32181+00
69,Swimming,2025-04-23 14:31:04.961966+00
